Ref,Val,Package,PosX,PosY,Rot,Side
"S1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",-138.000000,-100.950000,180.000000,bottom
"S2","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",-153.500000,-101.000000,180.000000,bottom
"S3","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",-169.012500,-100.950000,180.000000,bottom
"SW1","Kailh Hotswap","SW_Hotswap_Hybrid_1.00u",-134.500000,-81.750000,0.000000,bottom
"SW2","Kailh Hotswap","SW_Hotswap_Hybrid_1.00u",-153.500000,-81.750000,0.000000,bottom
"SW7","Kailh Hotswap","SW_Hotswap_Hybrid_1.00u",-172.550000,-81.750000,0.000000,bottom
